id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1759,Raota,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1760,"Rao Vihar, Nangloi",G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
1761,Rashid Market,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1762,Rasulpur,G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
1763,Ratanakar Vihar,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1764,Ratan Bagh,G,9,31,Nangloi Jat West,Rs. 46200 Per Square Meter,46200,Nazafgarh
1765,Ratan Bagh (Veena Enclave),G,9,31,Nangloi Jat West,Rs. 46200 Per Square Meter,46200,Nazafgarh
1766,Ratan Nagar,E,12,91,Karol Bagh,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1767,Ratan Park,G,10,101,Raja Garden,Rs. 46200 Per Square Meter,46200,West
1768,Ratan Vihar,F,8,35,Kirari Suleman Nagar,"Rs. 56,640 Per Square Meter",56640,Rohini
1769,Rattan Bagh,F,8,40,Sultanpuri South,"Rs. 56,640 Per Square Meter",56640,Rohini
1770,Rattan Park,G,9,31,Nangloi Jat West,Rs. 46200 Per Square Meter,46200,Nazafgarh
1771,"Rattan Vihar, Kirari",G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
1772,Ravi Das Colony Narela,G,7,1,Narela,Rs. 46200 Per Square Meter,46200,Narela
1773,Ravi Nagar,F,10,107,Vishnu Garden,"Rs. 56,640 Per Square Meter",56640,West
1774,Ravi Nagar Extn.,G,10,115,Major Bhupinde Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1775,Raza Pur Kalan,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
1776,Raza Pur Khurd,H,10,122,Hastsal,"Rs. 23,280 Per Square Meter",23280,West
1777,RBI Colony,D,10,57,Paschim Vihar South,"Rs. 1,27,680 Per Square Meter",127680,West
1778,RC Khichripur,G,1,214,Khichripur,Rs. 46200 Per Square Meter,46200,Shahadra South
1779,RC Khyala,G,10,115,Major Bhupinde Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1780,RC Madipur,G,10,104,Madipur B,Rs. 46200 Per Square Meter,46200,West
1781,Rehgarpura,E,12,91,Karol Bagh,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1782,Reserve Bank Colony,D,8,55,Shalimar Bagh North,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1783,Rewala Khanpur,H,9,134,Nangli Sakravati,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1784,Ring Road Banglows,A,4,156,Bhogal,"Rs. 7,75,000 Per Square Meter",775000,Central
1785,Risala Garden (Uttam Nagar),G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1786,Rishab Vihar,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1787,Rishal Vihar Chawla Extn,G,9,133,Chhawala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1788,Rishib Nagar Mohan Park,G,6,13,Dhirpur,Rs. 46200 Per Square Meter,46200,Civil Line
1789,Rishi Kadam Pur Harijan Colony,G,2,258,Kadam Puri,Rs. 46200 Per Square Meter,46200,Shahadra North
1790,Rishi Nagar,E,8,59,Rani Bagh,"Rs. 70,070 Per Square Meter",70070,Rohini
1791,Rithala Village,G,8,22,Rithala,Rs. 46200 Per Square Meter,46200,Rohini
1792,Rohini,E,8,21,Rohini North,"Rs. 70,070 Per Square Meter",70070,Rohini
1793,Rohini Institutional Area,C,8,45,Rohini South,"Rs. 1,59,840 Per Square Meter",159840,Rohini
1794,Rohini Kunj Bawana,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
1795,Rohit Kunj,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1796,Rohtash Nagar,F,2,247,Ram Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1797,"Rohtas Nagar, Janak Puri",G,10,110,Janakpuri II,Rs. 46200 Per Square Meter,46200,West
1798,Roopali Enclave Karala,G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
1799,Roop Nagar,D,6,70,Rana Pratap Bagh,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1800,"Roop Nagar, Keshav Puram",E,8,63,Kohat Enclave,"Rs. 70,070 Per Square Meter",70070,Rohini
1801,Roshan Garden (Najafgarh),G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
1802,"Roshan Mandi, Najafgarh",G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
1803,Roshan Pura,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
1804,Roshanpura Allies Dichson Khurd,H,9,134,Nangli Sakravati,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1805,Roshan Pura Colony Najafgarh,G,9,137,Roshanpura,Rs. 46200 Per Square Meter,46200,Nazafgarh
1806,"Roshanpura , Najafgarh",G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
1807,Roshan Vihar Kakrola Road,G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
1808,Roshan Vihar Najafgarh,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1809,"Rouse Avenue,Institution Area",B,5,81,Minto Road,"Rs. 2,45,520 Per Square Meter",245520,City
1810,RPS Colony,F,3,181,Khanpur,"Rs. 56,640 Per Square Meter",56640,South
1811,Ruchi Vihar,E,9,144,Mahipalpur,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
1812,Sabhepur,H,2,272,Sadatpur Gujran,"Rs. 23,280 Per Square Meter",23280,Shahadra North
1813,Sabhepur Colony,G,2,272,Sadatpur Gujran,Rs. 46200 Per Square Meter,46200,Shahadra North
1814,Sabhey Pur Gujran,H,2,272,Sadatpur Gujran,"Rs. 23,280 Per Square Meter",23280,Shahadra North
1815,Saboli,G,2,263,Saboli,Rs. 46200 Per Square Meter,46200,Shahadra North
1816,Saboli Colony,F,2,263,Saboli,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1817,Saboli Extension,F,2,263,Saboli,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1818,Sabzi Mandi,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1819,Sadar Bazar,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1820,Sadatpur,G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
1821,Sadbora Khurd,G,11,73,Shastri Nagar,Rs. 46200 Per Square Meter,46200,Sadar Paharganj
