id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1955,Shalimar Park,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1956,Shalimar Village,G,8,55,Shalimar Bagh North,Rs. 46200 Per Square Meter,46200,Rohini
1957,Shamas Pur,H,1,220,Patparganj,"Rs. 23,280 Per Square Meter",23280,Shahadra South
1958,Shamaypur Village,G,6,17,Samaypur Badli,Rs. 46200 Per Square Meter,46200,Civil Line
1959,Shamazpur Khalsa,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1960,Shambu Nagar,G,8,61,Tri Nagar,Rs. 46200 Per Square Meter,46200,Rohini
1961,Sham Nagar(Jagat puri),F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1962,Sham Nagar (Khayala),G,10,108,Khyala,Rs. 46200 Per Square Meter,46200,West
1963,Shampur(Khampur),H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
1964,Shankar Garden,D,10,113,Mahabir Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1965,Shankar Nagar,F,1,235,Azad Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1966,Shankar Nagar Extn,F,1,235,Azad Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1967,Shankarpura,G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
1968,Shankar Vihar,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1969,Shanti Mohalla,F,1,236,Raghubar Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1970,Shanti Nagar,F,8,61,Tri Nagar,"Rs. 56,640 Per Square Meter",56640,Rohini
1971,Shanti Niketan,A,3,168,Nanak Pura,"Rs. 7,75,000 Per Square Meter",775000,South
1972,Shanti Park,G,10,127,Uttam Nagar,Rs. 46200 Per Square Meter,46200,West
1973,Shanti Vihar,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1974,"Shanti Vihar , Najafgarh",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1975,Sharda Niketan,D,8,60,Saraswati Vihar,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1976,Shardapuri,D,10,98,Mansarovar Garden,"Rs. 1,27,680 Per Square Meter",127680,West
1977,Sharma Enclave Mubarakpur Extn.,G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
